supplier_id,location_id,supplier_name,account_number,account_name,tax_code
377,67,Risefront - Quattro Coffee,5-1140,Coffee/Tea,GST
380,67,Select Fresh Fairfield,,,
385,67,Just Pasta,5-1170,Grocery/Miscellaneous,GST
398,67,Elite Packaging Fairfield,5-2000,Paper & Packaging Products,GST
420,67,EUSTRALIS FOOD and WINE FAIRFIELD,,,
422,67,Nican Bros Pty Ltd _ Ginger Chai,5-1210,Soft Drinks/other beverage,GST
427,67,Socrates Fairfield,5-1210,Soft Drinks/other beverage,GST
431,67,TMA New Fairfield,5-2000,Paper & Packaging Products,GST
442,67,Risefront Zammit Small Goods Fairfield,5-1170,Grocery/Miscellaneous,GST
446,67,Risefront Dickstone Meat Fairfield,5-1150,Meat/Chicken/Seafood,FREE
487,67,Quick Blend Foods Pty Ltd,5-1210,Soft Drinks/other beverage,GST
542,67,Risefront Fresh Poultry Fairfield,5-1150,Meat/Chicken/Seafood,FREE
395,67,Cleanwash Products,6-2050,Chemicals & cleaning products,GST
384,67,Coffico,5-1140,Coffee/Tea,GST
718,67,Freshco,5-1160,Fruit/Vegetables,FREE
389,67,Asahi Fairfield,5-1210,Soft Drinks/other beverage,GST
379,67,Westmead Zouki,,,
645,67,zouki westmead,,,
721,67,Campos coffee,5-1140,Coffee/Tea,GST
724,67,Foodlink New Fairfield,,,
